real12,pred12,real3,pred3
103.609,94.97017,91.202,94.22917
101.081,94.56329,86.868,93.813965
89.148,94.093956,96.601,93.76063
101.456,93.79223,77.969,93.680305
96.052,93.63593,96.272,93.517624
71.813,93.52301,93.098,93.72208
97.996,93.32782,92.767,93.31803
65.732,93.347664,81.4,93.275696
76.408,93.308105,98.952,93.51899
83.236,93.474396,103.609,93.39478
106.406,93.124374,101.081,92.90046
106.255,93.027756,89.148,93.19469
82.973,92.54376,101.456,93.86167
85.695,93.07544,96.052,94.22837
79.537,92.81859,71.813,93.82863
89.479,92.78857,97.996,93.9074
95.291,93.07076,65.732,93.86845
70.116,92.0864,76.408,93.7859
55.51,90.51511,83.236,94.4862
109.362,91.6212,106.406,93.983894
88.525,89.67239,106.255,93.21062
59.415,88.14945,82.973,92.80785
110.82,86.919754,85.695,92.62574
105.954,86.52819,79.537,91.894775
100.005,87.18438,89.479,91.92886
50.496,88.26754,95.291,90.99214
81.044,88.95847,70.116,90.59873
81.663,90.07504,55.51,90.004135
81.663,91.544136,109.362,89.73416
99.873,92.64984,88.525,89.739655
84.718,93.06019,59.415,88.25013
109.812,95.10099,110.82,87.72766
84.548,95.681335,105.954,88.65354
99.795,95.113266,100.005,85.95874
112.103,96.284256,50.496,86.756775
87.982,96.23563,81.044,86.92895
86.792,97.324005,81.663,87.92441
101.054,96.02568,81.663,91.50003
102.115,97.117195,99.873,91.481445
97.725,98.10395,84.718,93.76294
93.194,96.8556,109.812,94.30333
88.435,95.60923,84.548,96.23407
101.259,94.80026,99.795,96.02201
96.145,93.62701,112.103,97.00964
95.182,93.29812,87.982,96.30871
88.769,93.095856,86.792,96.71298
95.924,93.56031,101.054,97.28734
97.803,93.701256,102.115,95.56686
90.805,94.41197,97.725,95.09641
96.172,95.04332,93.194,94.826706
84.095,95.7345,88.435,95.0806
102.761,95.13313,101.259,94.4366
90.978,95.00444,96.145,94.15486
87.807,94.92542,95.182,94.05493
95.508,94.972855,88.769,94.18132
107.978,95.113464,95.924,94.17282
94.657,95.04382,97.803,93.873116
93.792,95.010765,90.805,93.70822
91.785,95.21271,96.172,93.80777
89.197,95.06853,84.095,94.041565
102.997,94.88011,102.761,93.88457
98.504,94.96881,90.978,94.2559
99.468,94.90366,87.807,94.34407
94.885,94.758095,95.508,94.57084
85.613,94.39491,107.978,94.628876
86.532,94.23631,94.657,94.201645
90.738,94.523926,93.792,94.226074
96.832,94.372925,91.785,94.4381
87.36,94.29822,89.197,93.93443
91.177,93.98898,102.997,93.96916
96.19,94.082214,98.504,93.81267
94.787,94.25621,99.468,93.89684
85.977,94.433105,94.885,94.0988
94.947,94.355736,85.613,94.017715
82.39,94.4636,86.532,94.11607
93.215,94.482315,90.738,93.761406
100.883,94.65815,96.832,93.67401
93.077,94.912674,87.36,93.433136
92.111,95.05458,91.177,93.27721
96.629,94.98419,96.19,93.48152
98.8,95.08922,94.787,93.58847
88.695,95.02686,85.977,93.49562
94.271,95.12716,94.947,93.57039
102.732,94.83577,82.39,93.89214
98.454,94.561104,93.215,93.715034
92.979,93.792274,100.883,94.16189
90.362,93.77883,93.077,93.98143
89.651,93.18241,92.111,94.191444
83.058,92.933876,96.629,94.96526
91.246,93.02549,98.8,95.004326
93.982,93.05401,88.695,94.675705
92.857,93.49953,94.271,94.86757
88.798,94.096825,102.732,95.23209
90.003,94.727196,98.454,94.64679
95.85,94.92976,92.979,94.2732
96.218,95.268814,90.362,94.50738
100.616,95.437096,89.651,94.42165
95.542,95.38313,83.058,94.36818
91.954,94.695656,91.246,94.076035
102.34,93.94292,93.982,93.92279
101.541,93.641556,92.857,94.11697
105.781,93.750534,88.798,93.92475
101.058,93.572044,90.003,94.061455
70.073,93.83279,95.85,94.25229
110.985,93.87427,96.218,94.02668
75.87,93.85181,100.616,93.594666
87.642,93.694885,95.542,93.55133
100.974,93.3988,91.954,93.76876
81.842,93.424,102.34,94.135956
83.955,93.54155,101.541,94.05079
79.537,93.52972,105.781,93.88145
96.616,93.484695,101.058,94.20209
75.636,93.23823,70.073,94.43602
70.116,92.799225,110.985,94.60143
99.799,94.38702,75.87,93.829216
109.362,91.45928,87.642,93.24512
106.558,89.9694,100.974,92.57416
59.415,88.31396,81.842,92.95807
72.837,88.906555,83.955,91.802505
76.055,88.08109,79.537,91.4308
89.908,87.324196,96.616,93.46652
61.98,88.186584,75.636,93.45994
121.375,88.84167,70.116,93.027084
80.36,89.51293,99.799,91.861496
81.663,90.81266,109.362,91.61403
132.63,91.71399,106.558,90.24758
90.725,93.83797,59.415,88.20654
106.531,93.61425,72.837,86.754875
106.337,94.24396,76.055,86.62551
99.51,95.886055,89.908,86.52096
103.98,95.72554,61.98,85.867065
98.108,97.48215,121.375,88.246475
97.987,98.30765,80.36,90.60829
95.211,98.34451,81.663,93.88522
96.852,97.45272,132.63,93.322235
87.825,96.6819,90.725,94.97687
94.376,96.929344,106.531,93.83572
96.298,96.19104,106.337,95.55342
87.372,95.3038,99.51,96.315765
94.738,94.64709,103.98,97.79776
78.634,93.91033,98.108,98.8315
90.333,93.57829,97.987,98.42668
96.789,94.24244,95.211,98.92961
90.112,94.22751,96.852,97.8242
