qidian,zhongdian,tian,xiaoshi,avg_sudu,cheliuliang
101001,78001D,2021/7/1,5,80.396,44
101001,78001D,2021/7/1,6,93.339,96
101001,78001D,2021/7/1,7,95.088,204
101001,78001D,2021/7/1,8,93.334,245
101001,78001D,2021/7/1,9,88.416,229
101001,78001D,2021/7/1,10,90.365,213
101001,78001D,2021/7/1,11,90.252,155
101001,78001D,2021/7/1,12,85.276,163
101001,78001D,2021/7/1,13,90.454,159
101001,78001D,2021/7/1,14,84.059,202
101001,78001D,2021/7/1,15,86.476,170
101001,78001D,2021/7/1,16,87.367,171
101001,78001D,2021/7/1,17,86.357,181
101001,78001D,2021/7/1,18,85.727,185
101001,78001D,2021/7/1,19,84.865,182
101001,78001D,2021/7/1,20,83.529,98
101001,78001D,2021/7/1,21,87.685,72
101001,78001D,2021/7/1,22,89.59,65
101001,78001D,2021/7/1,23,83.17,30
101001,78001D,2021/7/2,0,101.538,25
101001,78001D,2021/7/2,1,81.038,13
101001,78001D,2021/7/2,2,91.079,8
101001,78001D,2021/7/2,3,82.843,12
101001,78001D,2021/7/2,4,72.093,13
101001,78001D,2021/7/2,5,86.543,33
101001,78001D,2021/7/2,6,89.203,90
101001,78001D,2021/7/2,7,85.039,172
101001,78001D,2021/7/2,8,91.661,244
101001,78001D,2021/7/2,9,87.63,253
101001,78001D,2021/7/2,10,85.985,213
101001,78001D,2021/7/2,11,82.986,193
101001,78001D,2021/7/2,12,88.066,177
101001,78001D,2021/7/2,13,93.3,184
101001,78001D,2021/7/2,14,91.284,220
101001,78001D,2021/7/2,15,93.296,211
101001,78001D,2021/7/2,16,93.555,221
101001,78001D,2021/7/2,17,93.454,215
101001,78001D,2021/7/2,18,94.693,289
101001,78001D,2021/7/2,19,93.683,224
101001,78001D,2021/7/2,20,95.063,165
101001,78001D,2021/7/2,21,83.343,92
101001,78001D,2021/7/2,22,84.005,60
101001,78001D,2021/7/2,23,106.37,4
101001,78001D,2021/7/3,0,124.487,2
101001,78001D,2021/7/3,1,94.221,19
101001,78001D,2021/7/3,2,90.146,8
101001,78001D,2021/7/3,3,88.146,15
101001,78001D,2021/7/3,4,94.864,13
101001,78001D,2021/7/3,5,86.05,45
101001,78001D,2021/7/3,6,84.743,120
101001,78001D,2021/7/3,7,83.248,220
101001,78001D,2021/7/3,8,87.018,263
101001,78001D,2021/7/3,9,84.572,267
101001,78001D,2021/7/3,10,93.689,260
101001,78001D,2021/7/3,11,93.63,197
101001,78001D,2021/7/3,12,96.716,172
101001,78001D,2021/7/3,13,92.612,209
101001,78001D,2021/7/3,14,93.309,224
101001,78001D,2021/7/3,15,91.605,203
101001,78001D,2021/7/3,16,97.022,221
101001,78001D,2021/7/3,17,93.737,205
101001,78001D,2021/7/3,18,95.707,205
101001,78001D,2021/7/3,19,96.967,170
101001,78001D,2021/7/3,20,90.339,129
101001,78001D,2021/7/3,21,87.651,116
101001,78001D,2021/7/3,22,85.788,60
101001,78001D,2021/7/3,23,69.914,13
101001,78001D,2021/7/4,1,89.623,15
101001,78001D,2021/7/4,2,87.577,7
101001,78001D,2021/7/4,3,90.03,7
101001,78001D,2021/7/4,4,81.458,8
101001,78001D,2021/7/4,5,78.394,33
101001,78001D,2021/7/4,6,88.794,82
101001,78001D,2021/7/4,7,88.621,177
101001,78001D,2021/7/4,8,93.242,209
101001,78001D,2021/7/4,9,87.189,227
101001,78001D,2021/7/4,10,85.095,210
101001,78001D,2021/7/4,11,78.066,186
101001,78001D,2021/7/4,12,80.438,157
101001,78001D,2021/7/4,13,82.343,199
101001,78001D,2021/7/4,14,79.523,214
101001,78001D,2021/7/4,15,83.504,203
101001,78001D,2021/7/4,16,95.812,208
101001,78001D,2021/7/4,17,93.065,213
101001,78001D,2021/7/4,18,96.366,205
101001,78001D,2021/7/4,19,94.672,181
101001,78001D,2021/7/4,20,91.997,145
101001,78001D,2021/7/4,21,88.563,116
101001,78001D,2021/7/4,22,86.542,71
101001,78001D,2021/7/4,23,82.876,41
101001,78001D,2021/7/5,0,89.123,1
101001,78001D,2021/7/5,1,80.638,21
101001,78001D,2021/7/5,2,80.297,11
101001,78001D,2021/7/5,3,80.667,6
101001,78001D,2021/7/5,4,85.945,16
101001,78001D,2021/7/5,5,90.006,46
101001,78001D,2021/7/5,6,92.514,128
101001,78001D,2021/7/5,7,88.953,233
101001,78001D,2021/7/5,8,87.334,269
101001,78001D,2021/7/5,9,80.321,282
101001,78001D,2021/7/5,10,84.383,238
101001,78001D,2021/7/5,11,82.455,199
101001,78001D,2021/7/5,12,81.589,173
101001,78001D,2021/7/5,13,77.685,211
101001,78001D,2021/7/5,14,78.855,239
101001,78001D,2021/7/5,15,86.013,141
101001,78001D,2021/7/5,16,94.714,179
101001,78001D,2021/7/5,17,91.18,194
101001,78001D,2021/7/5,18,93.603,186
101001,78001D,2021/7/5,19,95.255,183
101001,78001D,2021/7/5,20,93.728,123
101001,78001D,2021/7/5,21,84.94,84
101001,78001D,2021/7/5,22,84.972,59
101001,78001D,2021/7/5,23,91.35,34
101001,78001D,2021/7/6,0,101.881,20
101001,78001D,2021/7/6,1,94.487,13
101001,78001D,2021/7/6,2,86.588,15
101001,78001D,2021/7/6,3,81.503,8
101001,78001D,2021/7/6,4,87.425,11
101001,78001D,2021/7/6,5,82.516,39
101001,78001D,2021/7/6,6,90.69,97
101001,78001D,2021/7/6,7,93.145,212
101001,78001D,2021/7/6,8,92.563,320
101001,78001D,2021/7/6,9,82.572,257
101001,78001D,2021/7/6,10,83.903,209
101001,78001D,2021/7/6,11,82.66,178
101001,78001D,2021/7/6,12,89.365,129
101001,78001D,2021/7/6,13,92.1,193
101001,78001D,2021/7/6,14,80.358,226
101001,78001D,2021/7/6,15,76.419,170
