出口站点,日期,小时,分钟,车流量
2002,2021/5/12,10,0,1
2002,2021/5/12,10,35,3
2002,2021/5/12,11,0,1
2002,2021/5/12,11,25,1
2002,2021/5/12,11,30,1
2002,2021/5/12,11,35,1
2002,2021/5/12,12,10,1
2002,2021/5/12,12,25,1
2002,2021/5/12,12,30,1
2002,2021/5/12,12,45,1
2002,2021/5/12,12,50,1
2002,2021/5/12,12,55,1
2002,2021/5/12,13,0,1
2002,2021/5/12,13,5,1
2002,2021/5/12,13,25,1
2002,2021/5/12,13,40,2
2002,2021/5/12,13,50,2
2002,2021/5/12,13,55,1
2002,2021/5/12,14,10,1
2002,2021/5/12,14,20,2
2002,2021/5/12,14,35,2
2002,2021/5/12,14,50,1
2002,2021/5/12,14,55,1
2002,2021/5/12,15,10,1
2002,2021/5/12,15,25,1
2002,2021/5/12,15,35,1
2002,2021/5/12,15,55,1
2002,2021/5/12,16,0,1
2002,2021/5/12,16,15,2
2002,2021/5/12,16,20,1
2002,2021/5/12,16,40,1
2002,2021/5/12,16,55,1
2002,2021/5/12,17,5,3
2002,2021/5/12,17,20,1
2002,2021/5/12,17,35,1
2002,2021/5/12,17,55,1
2002,2021/5/12,18,55,1
2002,2021/5/12,19,10,1
2002,2021/5/12,19,20,1
2002,2021/5/12,19,25,1
2002,2021/5/12,19,45,1
2002,2021/5/12,19,50,1
2002,2021/5/12,20,0,1
2002,2021/5/12,20,35,1
2002,2021/5/12,22,5,1
2002,2021/5/12,22,20,1
2002,2021/5/12,22,50,1
2002,2021/5/13,0,5,1
2002,2021/5/13,0,30,1
2002,2021/5/13,0,50,1
2002,2021/5/13,2,45,1
2002,2021/5/13,5,40,1
2002,2021/5/13,6,10,1
2002,2021/5/13,6,15,1
2002,2021/5/13,7,5,1
2002,2021/5/13,7,10,1
2002,2021/5/13,7,25,1
2002,2021/5/13,7,30,1
2002,2021/5/13,7,35,2
2002,2021/5/13,7,40,2
2002,2021/5/13,7,45,1
2002,2021/5/13,7,55,1
2002,2021/5/13,8,0,2
2002,2021/5/13,8,5,1
2002,2021/5/13,8,10,1
2002,2021/5/13,8,15,1
2002,2021/5/13,8,40,1
2002,2021/5/13,8,45,2
2002,2021/5/13,8,50,2
2002,2021/5/13,9,5,2
2002,2021/5/13,9,10,1
2002,2021/5/13,9,35,1
2002,2021/5/13,9,40,1
2002,2021/5/13,9,55,1
2002,2021/5/13,10,0,1
2002,2021/5/13,10,10,1
2002,2021/5/13,10,45,1
2002,2021/5/13,11,10,1
2002,2021/5/13,11,40,1
2002,2021/5/13,11,55,1
2002,2021/5/13,12,20,1
2002,2021/5/13,12,25,1
2002,2021/5/13,12,45,1
2002,2021/5/13,13,5,1
2002,2021/5/13,13,30,1
2002,2021/5/13,13,50,1
2002,2021/5/13,14,0,1
2002,2021/5/13,14,25,1
2002,2021/5/13,14,55,1
2002,2021/5/13,15,25,1
2002,2021/5/13,17,5,1
2002,2021/5/13,17,20,1
2002,2021/5/13,17,55,1
2002,2021/5/13,18,40,1
2002,2021/5/13,18,50,1
2002,2021/5/13,19,10,1
2002,2021/5/13,19,50,1
2002,2021/5/13,22,30,1
2002,2021/5/13,23,30,1
2002,2021/5/14,0,40,1
2002,2021/5/14,5,35,1
2002,2021/5/14,6,10,1
